Region,W_T_D,W_T_G,W_E,W_I_D,W_I_G,W_I_E,"W(f,r)"
us-central1,0.3024,0.34650000000000003,73.5,0.3024,0.34650000000000003,0.0,74.79780000000001
us-east1,0.41800000000000004,0.5445000000000001,96.25000000000001,0.41800000000000004,0.5445000000000001,0.0,98.17500000000003
us-west1,0.4680000000000001,0.34320000000000006,136.5,0.4680000000000001,0.34320000000000006,0.0,138.1224
europe-west1,0.144,0.08910000000000001,31.5,0.144,0.08910000000000001,0.0,31.966199999999997
asia-south1,0.7140000000000001,1.0285000000000002,148.75,0.7140000000000001,1.0285000000000002,0.0,152.235
