Region,W_stress,W_volumetric,EF_kg_per_kwh,W_carbon_proxy,rank_vol,rank_stress,rank_carbon
us-central1,74.79780000000001,178.08999999999997,0.4,29.919120000000007,3,4,4
us-east1,98.17500000000003,178.5,0.38,37.30650000000001,2,3,3
us-west1,138.1224,177.07999999999998,0.3,41.43672,5,2,2
europe-west1,31.966199999999997,177.59,0.25,7.991549999999999,4,5,5
asia-south1,152.235,179.10000000000002,0.7,106.56450000000001,1,1,1
